File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
frankfurt_000001_011715_gtFine_labelTrainIds.png,91.36,83.2,-8.16
frankfurt_000001_011835_gtFine_labelTrainIds.png,88.03,89.21,1.19
frankfurt_000001_012038_gtFine_labelTrainIds.png,63.8,63.99,0.18
frankfurt_000001_012519_gtFine_labelTrainIds.png,94.81,88.36,-6.45
frankfurt_000001_012699_gtFine_labelTrainIds.png,94.76,90.71,-4.05
frankfurt_000001_012738_gtFine_labelTrainIds.png,96.3,87.23,-9.07
frankfurt_000001_012870_gtFine_labelTrainIds.png,88.88,84.03,-4.85
frankfurt_000001_013016_gtFine_labelTrainIds.png,89.45,85.93,-3.52
frankfurt_000001_013496_gtFine_labelTrainIds.png,96.65,93.14,-3.51
frankfurt_000001_013710_gtFine_labelTrainIds.png,90.77,88.82,-1.95
frankfurt_000001_014221_gtFine_labelTrainIds.png,90.19,87.22,-2.97
frankfurt_000001_014406_gtFine_labelTrainIds.png,95.55,92.66,-2.89
frankfurt_000001_014565_gtFine_labelTrainIds.png,93.45,88.11,-5.34
frankfurt_000001_014741_gtFine_labelTrainIds.png,92.15,88.52,-3.63
frankfurt_000001_015091_gtFine_labelTrainIds.png,93.82,88.39,-5.43
frankfurt_000001_015328_gtFine_labelTrainIds.png,95.27,88.63,-6.64
frankfurt_000001_015768_gtFine_labelTrainIds.png,97.33,75.29,-22.04
frankfurt_000001_016029_gtFine_labelTrainIds.png,92.96,88.76,-4.2
frankfurt_000001_016273_gtFine_labelTrainIds.png,94.83,89.5,-5.33
frankfurt_000001_016462_gtFine_labelTrainIds.png,90.79,92.3,1.51
frankfurt_000001_017101_gtFine_labelTrainIds.png,95.66,91.2,-4.46
frankfurt_000001_017459_gtFine_labelTrainIds.png,80.6,83.21,2.61
frankfurt_000001_017842_gtFine_labelTrainIds.png,90.14,89.26,-0.88
frankfurt_000001_018113_gtFine_labelTrainIds.png,92.69,90.44,-2.25
frankfurt_000001_019698_gtFine_labelTrainIds.png,95.47,91.43,-4.04
frankfurt_000001_019854_gtFine_labelTrainIds.png,93.94,91.94,-1.99
frankfurt_000001_019969_gtFine_labelTrainIds.png,97.0,96.7,-0.3
frankfurt_000001_020046_gtFine_labelTrainIds.png,94.57,91.03,-3.53
frankfurt_000001_020287_gtFine_labelTrainIds.png,93.67,90.52,-3.15
frankfurt_000001_020693_gtFine_labelTrainIds.png,94.56,93.55,-1.01
frankfurt_000001_021406_gtFine_labelTrainIds.png,97.83,92.81,-5.02
frankfurt_000001_021825_gtFine_labelTrainIds.png,92.54,89.77,-2.77
frankfurt_000001_023235_gtFine_labelTrainIds.png,94.94,90.98,-3.97
frankfurt_000001_023369_gtFine_labelTrainIds.png,92.53,89.57,-2.96
frankfurt_000001_023769_gtFine_labelTrainIds.png,92.93,88.19,-4.75
frankfurt_000001_024927_gtFine_labelTrainIds.png,95.05,89.42,-5.64
frankfurt_000001_025512_gtFine_labelTrainIds.png,91.49,90.62,-0.87
frankfurt_000001_025713_gtFine_labelTrainIds.png,91.88,90.4,-1.47
frankfurt_000001_025921_gtFine_labelTrainIds.png,90.47,88.58,-1.9
frankfurt_000001_027325_gtFine_labelTrainIds.png,94.05,88.85,-5.2
frankfurt_000001_028232_gtFine_labelTrainIds.png,94.4,87.83,-6.57
frankfurt_000001_028335_gtFine_labelTrainIds.png,95.58,88.16,-7.42
frankfurt_000001_028590_gtFine_labelTrainIds.png,94.78,91.72,-3.06
frankfurt_000001_028854_gtFine_labelTrainIds.png,94.5,92.56,-1.94
frankfurt_000001_029086_gtFine_labelTrainIds.png,93.31,88.83,-4.48
frankfurt_000001_029236_gtFine_labelTrainIds.png,94.44,92.57,-1.87
frankfurt_000001_029600_gtFine_labelTrainIds.png,94.67,76.67,-18.0
frankfurt_000001_030067_gtFine_labelTrainIds.png,97.74,94.87,-2.87
frankfurt_000001_030310_gtFine_labelTrainIds.png,96.7,92.01,-4.69
frankfurt_000001_030669_gtFine_labelTrainIds.png,93.51,89.92,-3.59
frankfurt_000001_031266_gtFine_labelTrainIds.png,96.19,91.8,-4.38
frankfurt_000001_031416_gtFine_labelTrainIds.png,96.02,91.77,-4.25
frankfurt_000001_032018_gtFine_labelTrainIds.png,94.51,91.73,-2.78
frankfurt_000001_032556_gtFine_labelTrainIds.png,94.15,87.98,-6.17
frankfurt_000001_032711_gtFine_labelTrainIds.png,96.5,91.6,-4.9
frankfurt_000001_032942_gtFine_labelTrainIds.png,96.77,92.11,-4.65
frankfurt_000001_033655_gtFine_labelTrainIds.png,94.99,91.43,-3.56
frankfurt_000001_034047_gtFine_labelTrainIds.png,93.83,90.91,-2.92
frankfurt_000001_034816_gtFine_labelTrainIds.png,89.34,85.13,-4.22
frankfurt_000001_035144_gtFine_labelTrainIds.png,95.25,90.22,-5.03
frankfurt_000001_035864_gtFine_labelTrainIds.png,95.23,92.21,-3.03
frankfurt_000001_037705_gtFine_labelTrainIds.png,91.16,85.78,-5.38
frankfurt_000001_038245_gtFine_labelTrainIds.png,96.02,91.11,-4.91
frankfurt_000001_038418_gtFine_labelTrainIds.png,96.56,91.21,-5.36
frankfurt_000001_038645_gtFine_labelTrainIds.png,90.81,89.07,-1.74
frankfurt_000001_038844_gtFine_labelTrainIds.png,92.97,89.29,-3.67
frankfurt_000001_039895_gtFine_labelTrainIds.png,94.64,90.33,-4.31
frankfurt_000001_040575_gtFine_labelTrainIds.png,93.08,88.24,-4.84
frankfurt_000001_040732_gtFine_labelTrainIds.png,94.61,90.41,-4.2
frankfurt_000001_041074_gtFine_labelTrainIds.png,92.76,90.25,-2.51
frankfurt_000001_041354_gtFine_labelTrainIds.png,92.45,89.75,-2.7
frankfurt_000001_041517_gtFine_labelTrainIds.png,93.59,90.03,-3.56
frankfurt_000001_041664_gtFine_labelTrainIds.png,94.78,93.51,-1.27
frankfurt_000001_042098_gtFine_labelTrainIds.png,88.13,89.02,0.89
frankfurt_000001_042384_gtFine_labelTrainIds.png,95.35,92.95,-2.4
frankfurt_000001_042733_gtFine_labelTrainIds.png,95.36,91.9,-3.46
frankfurt_000001_043395_gtFine_labelTrainIds.png,94.07,90.0,-4.07
frankfurt_000001_043564_gtFine_labelTrainIds.png,89.09,86.24,-2.85
frankfurt_000001_044227_gtFine_labelTrainIds.png,90.95,92.21,1.26
frankfurt_000001_044413_gtFine_labelTrainIds.png,89.02,88.47,-0.55
frankfurt_000001_044525_gtFine_labelTrainIds.png,94.88,92.15,-2.73
frankfurt_000001_044658_gtFine_labelTrainIds.png,96.23,93.05,-3.18
frankfurt_000001_044787_gtFine_labelTrainIds.png,94.52,89.8,-4.73
frankfurt_000001_046126_gtFine_labelTrainIds.png,95.09,91.42,-3.67
frankfurt_000001_046272_gtFine_labelTrainIds.png,91.81,90.17,-1.64
frankfurt_000001_046504_gtFine_labelTrainIds.png,94.59,91.49,-3.1
frankfurt_000001_046779_gtFine_labelTrainIds.png,94.36,93.57,-0.79
frankfurt_000001_047178_gtFine_labelTrainIds.png,96.74,92.98,-3.75
frankfurt_000001_047552_gtFine_labelTrainIds.png,96.4,93.37,-3.03
frankfurt_000001_048196_gtFine_labelTrainIds.png,95.62,93.2,-2.42
frankfurt_000001_048355_gtFine_labelTrainIds.png,95.35,93.55,-1.8
frankfurt_000001_048654_gtFine_labelTrainIds.png,95.4,92.75,-2.65
frankfurt_000001_049078_gtFine_labelTrainIds.png,93.6,91.36,-2.24
frankfurt_000001_049209_gtFine_labelTrainIds.png,95.8,93.3,-2.5
frankfurt_000001_049298_gtFine_labelTrainIds.png,97.38,95.8,-1.58
frankfurt_000001_049698_gtFine_labelTrainIds.png,87.7,85.61,-2.09
frankfurt_000001_049770_gtFine_labelTrainIds.png,89.2,85.85,-3.34
frankfurt_000001_050149_gtFine_labelTrainIds.png,91.51,91.99,0.48
frankfurt_000001_050686_gtFine_labelTrainIds.png,90.53,88.93,-1.59
frankfurt_000001_051516_gtFine_labelTrainIds.png,91.04,95.54,4.5
frankfurt_000001_051737_gtFine_labelTrainIds.png,94.28,89.25,-5.03
frankfurt_000001_051807_gtFine_labelTrainIds.png,93.88,88.97,-4.91
frankfurt_000001_052120_gtFine_labelTrainIds.png,95.48,89.0,-6.48
frankfurt_000001_052594_gtFine_labelTrainIds.png,94.36,87.85,-6.51
frankfurt_000001_053102_gtFine_labelTrainIds.png,91.52,87.31,-4.2
frankfurt_000001_054077_gtFine_labelTrainIds.png,95.0,85.92,-9.08
frankfurt_000001_054219_gtFine_labelTrainIds.png,94.7,89.43,-5.27
frankfurt_000001_054415_gtFine_labelTrainIds.png,95.71,92.46,-3.26
frankfurt_000001_054640_gtFine_labelTrainIds.png,94.82,92.53,-2.28
frankfurt_000001_054884_gtFine_labelTrainIds.png,94.32,91.78,-2.54
frankfurt_000001_055062_gtFine_labelTrainIds.png,93.56,90.25,-3.31
frankfurt_000001_055172_gtFine_labelTrainIds.png,96.5,90.28,-6.21
frankfurt_000001_055306_gtFine_labelTrainIds.png,92.5,86.68,-5.82
frankfurt_000001_055387_gtFine_labelTrainIds.png,95.38,93.79,-1.59
frankfurt_000001_055538_gtFine_labelTrainIds.png,91.25,91.33,0.07
frankfurt_000001_055603_gtFine_labelTrainIds.png,96.78,95.3,-1.48
frankfurt_000001_055709_gtFine_labelTrainIds.png,94.28,91.63,-2.65
frankfurt_000001_056580_gtFine_labelTrainIds.png,95.24,92.84,-2.41
frankfurt_000001_057181_gtFine_labelTrainIds.png,92.98,91.82,-1.16
frankfurt_000001_057478_gtFine_labelTrainIds.png,95.14,92.6,-2.54
frankfurt_000001_057954_gtFine_labelTrainIds.png,93.16,89.74,-3.42
frankfurt_000001_058057_gtFine_labelTrainIds.png,95.84,93.23,-2.6
frankfurt_000001_058176_gtFine_labelTrainIds.png,95.82,91.13,-4.69
frankfurt_000001_058504_gtFine_labelTrainIds.png,92.17,89.62,-2.56
frankfurt_000001_058914_gtFine_labelTrainIds.png,92.9,90.23,-2.67
frankfurt_000001_059119_gtFine_labelTrainIds.png,93.31,88.1,-5.21
frankfurt_000001_059642_gtFine_labelTrainIds.png,95.67,88.96,-6.71
frankfurt_000001_059789_gtFine_labelTrainIds.png,88.52,85.56,-2.96
frankfurt_000001_060135_gtFine_labelTrainIds.png,95.64,93.39,-2.25
frankfurt_000001_060422_gtFine_labelTrainIds.png,96.32,94.36,-1.97
frankfurt_000001_060545_gtFine_labelTrainIds.png,96.72,95.76,-0.95
frankfurt_000001_060906_gtFine_labelTrainIds.png,95.73,95.03,-0.7
