File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
frankfurt_000001_011715_gtFine_labelTrainIds.png,71.48,92.81,21.33
frankfurt_000001_011835_gtFine_labelTrainIds.png,73.42,86.28,12.86
frankfurt_000001_012038_gtFine_labelTrainIds.png,63.09,88.53,25.44
frankfurt_000001_012519_gtFine_labelTrainIds.png,88.06,85.45,-2.61
frankfurt_000001_012699_gtFine_labelTrainIds.png,88.62,85.56,-3.06
frankfurt_000001_012738_gtFine_labelTrainIds.png,88.26,88.68,0.42
frankfurt_000001_012870_gtFine_labelTrainIds.png,90.96,90.72,-0.24
frankfurt_000001_013016_gtFine_labelTrainIds.png,89.91,88.53,-1.38
frankfurt_000001_013496_gtFine_labelTrainIds.png,93.0,85.94,-7.06
frankfurt_000001_013710_gtFine_labelTrainIds.png,86.91,84.63,-2.28
frankfurt_000001_014221_gtFine_labelTrainIds.png,88.63,85.73,-2.9
frankfurt_000001_014406_gtFine_labelTrainIds.png,95.75,92.76,-2.99
frankfurt_000001_014565_gtFine_labelTrainIds.png,93.64,87.18,-6.45
frankfurt_000001_014741_gtFine_labelTrainIds.png,94.26,92.67,-1.58
frankfurt_000001_015091_gtFine_labelTrainIds.png,92.04,90.35,-1.69
frankfurt_000001_015328_gtFine_labelTrainIds.png,94.13,87.2,-6.94
frankfurt_000001_015768_gtFine_labelTrainIds.png,91.75,86.1,-5.65
frankfurt_000001_016029_gtFine_labelTrainIds.png,95.03,90.67,-4.35
frankfurt_000001_016273_gtFine_labelTrainIds.png,92.58,90.82,-1.76
frankfurt_000001_016462_gtFine_labelTrainIds.png,92.39,83.44,-8.95
frankfurt_000001_017101_gtFine_labelTrainIds.png,96.9,93.47,-3.43
frankfurt_000001_017459_gtFine_labelTrainIds.png,80.16,73.38,-6.78
frankfurt_000001_017842_gtFine_labelTrainIds.png,92.92,89.41,-3.51
frankfurt_000001_018113_gtFine_labelTrainIds.png,93.2,93.55,0.35
frankfurt_000001_019698_gtFine_labelTrainIds.png,95.99,92.51,-3.48
frankfurt_000001_019854_gtFine_labelTrainIds.png,96.57,91.06,-5.51
frankfurt_000001_019969_gtFine_labelTrainIds.png,93.6,91.95,-1.65
frankfurt_000001_020046_gtFine_labelTrainIds.png,92.53,91.34,-1.19
frankfurt_000001_020287_gtFine_labelTrainIds.png,94.49,91.84,-2.65
frankfurt_000001_020693_gtFine_labelTrainIds.png,93.8,88.3,-5.5
frankfurt_000001_021406_gtFine_labelTrainIds.png,91.64,88.11,-3.54
frankfurt_000001_021825_gtFine_labelTrainIds.png,93.59,91.19,-2.4
frankfurt_000001_023235_gtFine_labelTrainIds.png,92.51,89.6,-2.91
