File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU,MIoU Prediction 3,MIoU Prediction 4,Delta MIoU2
munster_000132_000019_gtFine_labelTrainIds.png,94.05,93.6,-0.45,93.57,96.83,3.25
munster_000129_000019_gtFine_labelTrainIds.png,92.34,90.64,-1.7,91.16,94.28,3.12
munster_000118_000019_gtFine_labelTrainIds.png,94.22,92.36,-1.86,93.16,95.92,2.77
munster_000100_000019_gtFine_labelTrainIds.png,88.27,81.34,-6.94,91.35,94.06,2.71
munster_000107_000019_gtFine_labelTrainIds.png,95.66,92.99,-2.66,94.23,96.91,2.68
munster_000093_000019_gtFine_labelTrainIds.png,94.47,92.12,-2.35,92.81,95.34,2.53
munster_000001_000019_gtFine_labelTrainIds.png,87.72,90.89,3.17,93.3,95.71,2.41
munster_000049_000019_gtFine_labelTrainIds.png,89.2,87.56,-1.64,92.65,95.05,2.39
munster_000088_000019_gtFine_labelTrainIds.png,92.37,89.77,-2.6,94.23,96.58,2.35
munster_000104_000019_gtFine_labelTrainIds.png,90.75,89.92,-0.83,93.16,95.47,2.32
munster_000003_000019_gtFine_labelTrainIds.png,92.38,91.13,-1.25,92.52,94.8,2.29
frankfurt_000000_002196_gtFine_labelTrainIds.png,93.41,87.38,-6.03,92.59,94.84,2.25
munster_000089_000019_gtFine_labelTrainIds.png,89.96,90.67,0.71,93.4,95.56,2.16
munster_000168_000019_gtFine_labelTrainIds.png,95.45,92.74,-2.71,94.42,96.54,2.12
munster_000138_000019_gtFine_labelTrainIds.png,93.25,90.26,-2.99,92.37,94.41,2.04
frankfurt_000001_062509_gtFine_labelTrainIds.png,95.22,91.87,-3.35,92.52,94.42,1.9
munster_000170_000019_gtFine_labelTrainIds.png,93.04,89.8,-3.24,94.09,95.88,1.79
munster_000020_000019_gtFine_labelTrainIds.png,95.49,92.23,-3.26,93.99,95.71,1.71
munster_000103_000019_gtFine_labelTrainIds.png,91.47,89.7,-1.77,94.79,96.5,1.71
munster_000025_000019_gtFine_labelTrainIds.png,95.49,93.41,-2.08,91.81,93.43,1.63
munster_000116_000019_gtFine_labelTrainIds.png,94.57,93.97,-0.61,94.96,96.59,1.63
munster_000158_000019_gtFine_labelTrainIds.png,96.22,93.88,-2.34,95.43,97.05,1.63
munster_000018_000019_gtFine_labelTrainIds.png,90.18,71.72,-18.46,91,92.62,1.61
munster_000172_000019_gtFine_labelTrainIds.png,95.12,94.4,-0.72,94.67,96.25,1.57
munster_000051_000019_gtFine_labelTrainIds.png,94.21,92.53,-1.68,94.29,95.83,1.54
munster_000137_000019_gtFine_labelTrainIds.png,94.64,95.13,0.5,94.69,96.22,1.53
munster_000058_000019_gtFine_labelTrainIds.png,94.28,93.32,-0.96,93.76,95.24,1.49
munster_000155_000019_gtFine_labelTrainIds.png,92.01,89.81,-2.2,93.07,94.56,1.49
munster_000106_000019_gtFine_labelTrainIds.png,95.54,92.28,-3.26,94.94,96.34,1.4
frankfurt_000001_037705_gtFine_labelTrainIds.png,91.16,85.78,-5.38,86.45,87.82,1.37
munster_000022_000019_gtFine_labelTrainIds.png,88.95,88.96,0.02,93.55,94.87,1.32
munster_000109_000019_gtFine_labelTrainIds.png,94.48,88.46,-6.02,94.16,95.48,1.31
frankfurt_000001_041517_gtFine_labelTrainIds.png,93.59,90.03,-3.56,92.24,93.47,1.23
munster_000080_000019_gtFine_labelTrainIds.png,95.32,93.29,-2.02,95.05,96.28,1.23
munster_000012_000019_gtFine_labelTrainIds.png,91.78,88.55,-3.22,93.64,94.83,1.19
frankfurt_000001_035144_gtFine_labelTrainIds.png,95.25,90.22,-5.03,89.72,90.89,1.17
munster_000126_000019_gtFine_labelTrainIds.png,94.15,91.37,-2.78,93.86,95.03,1.17
munster_000124_000019_gtFine_labelTrainIds.png,94.33,92.09,-2.25,92.94,94.09,1.15
munster_000166_000019_gtFine_labelTrainIds.png,94.56,90.08,-4.48,94.45,95.59,1.14
munster_000014_000019_gtFine_labelTrainIds.png,93.13,89.84,-3.29,94.25,95.33,1.09
frankfurt_000001_058504_gtFine_labelTrainIds.png,92.17,89.62,-2.56,94.65,95.73,1.08
