File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
hanover_000000_048379_gtFine_labelTrainIds.png,38.99,43.33,4.34
stuttgart_000082_000019_gtFine_labelTrainIds.png,29.98,34.32,4.34
tubingen_000082_000019_gtFine_labelTrainIds.png,21.15,25.49,4.34
weimar_000120_000019_gtFine_labelTrainIds.png,23.28,27.62,4.33
hanover_000000_048765_gtFine_labelTrainIds.png,36.58,40.89,4.31
monchengladbach_000000_035364_gtFine_labelTrainIds.png,25.92,30.22,4.31
strasbourg_000001_021951_gtFine_labelTrainIds.png,26.69,30.99,4.29
tubingen_000057_000019_gtFine_labelTrainIds.png,33.52,37.8,4.27
bremen_000112_000019_gtFine_labelTrainIds.png,24.93,29.19,4.26
hanover_000000_051536_gtFine_labelTrainIds.png,35.81,40.07,4.26
hanover_000000_037516_gtFine_labelTrainIds.png,39.04,43.28,4.24
tubingen_000066_000019_gtFine_labelTrainIds.png,19.33,23.57,4.24
hanover_000000_056601_gtFine_labelTrainIds.png,33.34,37.57,4.22
hanover_000000_034015_gtFine_labelTrainIds.png,31.38,35.59,4.21
tubingen_000002_000019_gtFine_labelTrainIds.png,40.31,44.5,4.19
erfurt_000064_000019_gtFine_labelTrainIds.png,21.2,25.37,4.18
erfurt_000082_000019_gtFine_labelTrainIds.png,29.86,34.02,4.16
strasbourg_000001_011990_gtFine_labelTrainIds.png,34.21,38.35,4.15
tubingen_000129_000019_gtFine_labelTrainIds.png,30.59,34.73,4.14
darmstadt_000051_000019_gtFine_labelTrainIds.png,33.41,37.54,4.13
hanover_000000_045004_gtFine_labelTrainIds.png,39.42,43.54,4.13
zurich_000088_000019_gtFine_labelTrainIds.png,35.35,39.48,4.13
aachen_000140_000019_gtFine_labelTrainIds.png,30.97,35.1,4.12
bremen_000208_000019_gtFine_labelTrainIds.png,34.11,38.23,4.12
monchengladbach_000000_009690_gtFine_labelTrainIds.png,35.21,39.33,4.12
darmstadt_000039_000019_gtFine_labelTrainIds.png,25.33,29.43,4.1
dusseldorf_000066_000019_gtFine_labelTrainIds.png,26.03,30.12,4.09
bochum_000000_035958_gtFine_labelTrainIds.png,32.13,36.22,4.08
aachen_000148_000019_gtFine_labelTrainIds.png,34.36,38.41,4.05
dusseldorf_000087_000019_gtFine_labelTrainIds.png,25.23,29.28,4.05
hanover_000000_029769_gtFine_labelTrainIds.png,37.22,41.26,4.04
krefeld_000000_036299_gtFine_labelTrainIds.png,33.91,37.94,4.03
hanover_000000_034141_gtFine_labelTrainIds.png,33.8,37.78,3.99
zurich_000038_000019_gtFine_labelTrainIds.png,31.03,35.02,3.99
jena_000043_000019_gtFine_labelTrainIds.png,28.91,32.89,3.98
tubingen_000138_000019_gtFine_labelTrainIds.png,30.03,33.98,3.95
hamburg_000000_036427_gtFine_labelTrainIds.png,34.14,38.09,3.94
strasbourg_000001_010445_gtFine_labelTrainIds.png,37.65,41.6,3.94
bremen_000075_000019_gtFine_labelTrainIds.png,29.71,33.63,3.92
cologne_000019_000019_gtFine_labelTrainIds.png,34.04,37.97,3.92
zurich_000019_000019_gtFine_labelTrainIds.png,37.24,41.15,3.91
aachen_000158_000019_gtFine_labelTrainIds.png,19.13,23.03,3.9
strasbourg_000000_013574_gtFine_labelTrainIds.png,40.02,43.92,3.9
hamburg_000000_002095_gtFine_labelTrainIds.png,35.61,39.5,3.89
strasbourg_000001_033448_gtFine_labelTrainIds.png,29.73,33.62,3.89
stuttgart_000165_000019_gtFine_labelTrainIds.png,33.4,37.28,3.89
tubingen_000055_000019_gtFine_labelTrainIds.png,34.64,38.53,3.89
tubingen_000008_000019_gtFine_labelTrainIds.png,31.72,35.6,3.88
hamburg_000000_002338_gtFine_labelTrainIds.png,28.89,32.76,3.87
stuttgart_000026_000019_gtFine_labelTrainIds.png,28.16,32.03,3.87
strasbourg_000000_015602_gtFine_labelTrainIds.png,44.83,48.69,3.86
bremen_000241_000019_gtFine_labelTrainIds.png,28.65,32.5,3.85
bremen_000289_000019_gtFine_labelTrainIds.png,28.02,31.87,3.85
jena_000045_000019_gtFine_labelTrainIds.png,30.95,34.8,3.85
jena_000024_000019_gtFine_labelTrainIds.png,37.06,40.9,3.83
hamburg_000000_099109_gtFine_labelTrainIds.png,30.03,33.85,3.82
