Image Name,mIoU,Class 0 IoU,Class 1 IoU,Class 2 IoU,Class 3 IoU,Class 4 IoU,Class 5 IoU,Class 6 IoU,Class 7 IoU,Class 8 IoU,Class 9 IoU,Class 10 IoU,Class 11 IoU,Class 12 IoU,Class 13 IoU,Class 14 IoU,Class 15 IoU,Class 16 IoU,Class 17 IoU,Class 18 IoU
aachen_000036_000019,0.3962,0.8921,0.8345,0.9031,0,0,0.4797,0.4114,0.2218,0.861,0,0.9079,0.8181,0.3057,0.8932,0,0,0,0,0
aachen_000037_000019,0.3899,0.8839,0.8968,0.9345,0,0,0.5674,0,0.8319,0.8899,0,0.8115,0,0,0.9148,0,0,0,0,0.6768
aachen_000038_000019,0.2487,0.8703,0.8121,0.9534,0,0,0,0,0,0,0,0,0.7004,0,0.6706,0,0,0,0.7184,0
aachen_000039_000019,0.2676,0.7572,0.1945,0.9448,0,0,0.2194,0,0.5261,0,0,0,0.8725,0,0.9543,0,0,0,0.6163,0
aachen_000040_000019,0.3068,0.8319,0.8952,0.9559,0,0,0.2881,0,0,0.8659,0,0.9155,0.007,0,0.9583,0,0,0,0,0.1119
aachen_000041_000019,0.3692,0.8446,0.2015,0.8244,0,0,0.316,0,0.4978,0.8689,0.3697,0.535,0.5553,0,0.9351,0,0,0,0.6531,0.4126
aachen_000042_000019,0.3629,0.8624,0.5837,0.8809,0,0.0449,0.2775,0,0.5333,0.8154,0.069,0.58,0.5154,0.0432,0.4049,0,0,0,0.6864,0.5983
aachen_000043_000019,0.2944,0.8119,0.6951,0.8573,0,0,0.0777,0,0.6396,0.741,0.3124,0.5142,0,0,0.9445,0,0,0,0,0
aachen_000044_000019,0.3246,0.8022,0.45,0.6253,0.5404,0,0.3992,0.1612,0.5601,0.8531,0.4959,0.3499,0,0,0.9306,0,0,0,0,0
aachen_000045_000019,0.3938,0.809,0.3351,0.7115,0.7049,0,0.6069,0.5734,0.6462,0.8174,0.2279,0.555,0.5477,0,0.9476,0,0,0,0,0
aachen_000046_000019,0.3611,0.8645,0.5112,0.7277,0,0,0.333,0.4909,0.6434,0.8899,0.2509,0,0.8189,0,0.9565,0,0,0,0,0.3735
aachen_000047_000019,0.3642,0.8764,0.7635,0.8014,0,0,0.1482,0,0.5991,0.9203,0.1967,0.4282,0.682,0,0.7225,0,0,0,0.5414,0.2397
aachen_000048_000019,0.3691,0.8152,0.8449,0.603,0,0,0.3763,0,0.3848,0.8413,0.5422,0.6231,0.5985,0,0.6579,0,0,0,0,0.7248
aachen_000049_000019,0.2834,0.7649,0,0.8637,0,0,0,0,0.391,0.8775,0,0.519,0.4274,0,0.9421,0,0,0,0,0.5987
