Image Name,IoU Change
weimar_000123_000019,3.92
hamburg_000000_029144,3.63
dusseldorf_000218_000019,2.35
bremen_000005_000019,2.33
ulm_000062_000019,1.97
hamburg_000000_088983,1.93
